hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,tail,domestic,catsize
1,0,0,1,0,0,1,1,1,1,0,0,0,0,1
1,0,0,1,0,0,0,1,1,1,0,0,1,0,1
0,0,1,0,0,1,1,1,1,0,0,1,1,0,0
1,0,0,1,0,0,1,1,1,1,0,0,0,0,1
1,0,0,1,0,0,1,1,1,1,0,0,1,0,1
1,0,0,1,0,0,0,1,1,1,0,0,1,0,1
1,0,0,1,0,0,0,1,1,1,0,0,1,1,1
0,0,1,0,0,1,0,1,1,0,0,1,1,1,0
0,0,1,0,0,1,1,1,1,0,0,1,1,0,0
1,0,0,1,0,0,0,1,1,1,0,0,0,1,0
1,0,0,1,0,0,1,1,1,1,0,0,1,0,1
0,1,1,0,1,0,0,0,1,1,0,0,1,1,0
0,0,1,0,0,1,1,1,1,0,0,1,1,0,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
0,1,1,0,1,0,1,0,1,1,0,0,1,0,0
1,0,0,1,0,0,0,1,1,1,0,0,1,0,1
0,0,1,0,0,1,1,1,1,0,0,1,1,0,1
0,0,0,1,0,1,1,1,1,1,0,1,1,0,1
0,1,1,0,1,0,0,0,1,1,0,0,1,1,0
0,1,1,0,1,1,0,0,1,1,0,0,1,0,0
1,0,0,1,0,0,0,1,1,1,0,0,1,0,1
0,1,1,0,1,0,0,0,1,1,0,0,1,0,1
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,0,0,1,1,1,1,1,0,0,0,0,0
0,0,1,0,0,1,1,1,1,1,1,0,0,0,0
1,0,0,1,1,0,0,1,1,1,0,0,1,0,0
1,0,0,1,0,0,0,1,1,1,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1,0,0,0,1,1
0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1,0,0,1,0,0,0,1,1,1,0,0,1,1,1
1,0,0,1,0,0,0,1,1,1,0,0,0,0,1
0,1,1,0,1,1,1,0,1,1,0,0,1,0,0
0,0,1,0,0,1,0,1,1,0,0,1,1,0,0
1,0,0,1,0,0,0,1,1,1,0,0,1,1,0
1,0,0,1,0,0,0,1,1,1,0,0,1,0,0
0,1,1,0,1,0,1,0,1,1,0,0,1,0,0
0,0,1,0,0,1,1,1,1,0,0,1,1,0,0
1,0,1,0,1,0,0,0,0,1,1,0,0,1,0
1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
0,1,1,0,0,0,1,0,1,1,0,0,1,0,0
0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
0,1,1,0,1,0,0,0,1,1,0,0,1,0,0
1,0,0,1,0,0,1,1,1,1,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1,0,0,1,0,1
0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
1,0,0,1,0,0,1,1,1,1,0,0,1,0,1
1,0,0,1,0,1,1,1,1,1,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1,0,0,1,0,0
1,0,0,1,0,0,1,1,1,1,0,0,1,0,1
1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
1,0,0,1,0,0,1,1,1,1,0,0,1,0,0
1,0,0,1,0,0,0,1,1,1,0,0,1,0,1
0,1,1,0,0,0,0,0,1,1,0,0,1,0,1
0,1,1,0,1,0,0,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,1,1,0,0,1,0,1
0,1,1,0,1,0,0,0,1,1,0,0,1,0,0
0,0,1,0,0,1,1,1,1,0,0,1,1,0,1
0,0,1,0,0,1,1,1,1,0,0,1,1,0,0
0,0,1,0,0,0,1,1,1,1,1,0,1,0,0
1,0,1,1,0,1,1,0,1,1,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1,0,0,1,0,1
1,0,0,1,0,0,0,1,1,1,0,0,1,1,1
0,0,0,1,0,1,1,1,1,1,0,1,1,0,1
1,0,0,1,0,0,1,1,1,1,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1,0,0,1,1,1
1,0,0,1,0,0,1,1,1,1,0,0,1,0,1
1,0,0,1,0,0,0,1,1,1,0,0,1,1,1
0,1,1,0,0,0,1,0,1,1,0,0,1,0,1
0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
0,0,1,0,0,1,0,1,1,0,0,1,1,0,0
1,0,0,1,0,1,1,1,1,1,0,1,0,0,1
1,0,0,1,0,1,1,1,1,1,0,1,1,0,1
0,0,0,0,0,1,1,1,1,0,1,0,1,0,0
0,0,1,0,0,1,1,0,0,0,1,0,0,0,0
0,1,1,0,1,1,1,0,1,1,0,0,1,0,0
0,1,1,0,1,1,1,0,1,1,0,0,1,0,0
0,0,1,0,0,0,1,1,1,1,0,0,1,0,0
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,0,0,1,0,1,1,0,0,1,1,0,0
0,1,1,0,1,0,0,0,1,1,0,0,1,0,0
1,0,0,1,0,0,0,1,1,1,0,0,1,0,0
0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
0,0,1,0,0,1,1,1,1,0,1,1,1,0,1
0,1,1,0,1,1,0,0,1,1,0,0,1,0,1
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,0,0,1,0,1,1,1,0,0,0,0,0
0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
0,0,1,0,0,0,1,1,1,1,0,0,1,0,0
0,0,1,0,0,1,1,1,1,0,0,1,1,0,1
1,0,0,1,1,0,0,1,1,1,0,0,1,0,0
1,0,0,1,0,0,0,1,1,1,0,0,1,0,0
0,1,1,0,1,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,0,0,1,1,1,0,0,1,0,1
1,0,1,0,1,0,0,0,0,1,1,0,0,0,0
1,0,0,1,0,0,1,1,1,1,0,0,1,0,1
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,1,1,0,1,0,0,0,1,1,0,0,1,0,0
